iter	Passed	Remaining
305	1264	2868
306	1267	2862
307	1271	2855
308	1273	2848
309	1277	2843
310	1280	2836
311	1284	2832
312	1287	2825
313	1290	2819
314	1293	2812
315	1297	2808
316	1300	2802
317	1304	2797
318	1307	2791
319	1310	2785
320	1313	2779
321	1317	2775
322	1320	2768
323	1324	2763
324	1327	2756
325	1330	2751
326	1333	2744
327	1337	2741
328	1340	2734
329	1344	2729
330	1347	2723
331	1351	2719
332	1354	2713
333	1358	2708
334	1361	2702
335	1364	2697
336	1367	2690
337	1371	2685
338	1374	2679
339	1378	2675
340	1381	2669
341	1384	2663
342	1387	2657
343	1390	2652
344	1394	2646
345	1398	2642
346	1401	2636
347	1405	2632
348	1408	2626
349	1411	2621
350	1414	2615
351	1418	2610
352	1421	2605
353	1424	2599
354	1427	2593
355	1430	2588
356	1433	2581
357	1437	2577
358	1440	2571
359	1443	2566
360	1446	2560
361	1450	2556
362	1453	2551
363	1457	2546
364	1460	2540
365	1463	2535
366	1466	2529
367	1471	2526
368	1474	2522
369	1478	2517
370	1481	2511
371	1484	2506
372	1487	2500
373	1491	2496
374	1494	2491
375	1498	2487
376	1501	2481
377	1505	2477
378	1508	2471
379	1512	2467
380	1515	2461
381	1518	2456
382	1521	2451
383	1525	2446
384	1528	2441
385	1532	2436
386	1535	2431
387	1538	2426
388	1541	2421
389	1545	2417
390	1548	2412
391	1552	2407
392	1555	2402
393	1558	2397
394	1562	2392
395	1565	2387
396	1568	2382
397	1571	2377
398	1575	2372
399	1578	2367
400	1581	2362
401	1584	2357
402	1587	2352
403	1591	2347
404	1594	2342
405	1597	2337
406	1601	2332
407	1604	2328
408	1608	2323
409	1611	2318
410	1614	2314
411	1617	2309
412	1620	2303
413	1624	2299
414	1627	2294
415	1631	2289
416	1634	2284
417	1637	2279
418	1640	2274
419	1643	2269
420	1647	2265
421	1650	2261
422	1653	2256
423	1657	2251
424	1660	2246
425	1663	2241
426	1667	2237
427	1670	2232
428	1673	2227
429	1676	2222
430	1680	2218
431	1683	2213
432	1687	2209
433	1690	2204
434	1694	2200
435	1697	2195
436	1700	2190
437	1703	2186
438	1707	2181
439	1710	2177
440	1713	2172
441	1717	2167
442	1720	2162
443	1723	2157
444	1727	2153
445	1730	2149
446	1733	2144
447	1736	2139
448	1740	2135
449	1743	2130
450	1747	2126
451	1750	2121
452	1753	2117
453	1757	2113
454	1760	2109
455	1764	2104
456	1767	2100
457	1770	2095
458	1773	2090
459	1776	2086
460	1780	2082
461	1784	2077
462	1811	2101
463	1823	2106
464	1827	2102
465	1830	2098
466	1844	2105
467	1848	2101
468	1852	2097
469	1855	2092
470	1859	2088
471	1863	2084
472	1867	2080
473	1869	2075
474	1873	2070
475	1876	2066
476	1880	2061
477	1883	2057
478	1887	2052
479	1891	2049
480	1895	2044
481	1899	2040
482	1903	2037
483	1906	2032
484	1909	2027
485	1913	2023
486	1916	2018
487	1919	2013
488	1922	2009
489	1926	2004
490	1929	1999
491	1932	1995
492	1935	1990
493	1938	1985
494	1942	1981
495	1945	1976
496	1948	1972
497	1951	1967
498	1955	1963
499	1958	1958
500	1962	1954
501	1965	1949
502	1968	1945
503	1971	1940
504	1975	1936
505	1978	1931
506	1983	1928
507	1986	1923
508	1990	1920
509	1993	1915
510	1997	1911
511	2000	1906
512	2003	1901
513	2007	1898
514	2010	1893
515	2014	1889
516	2017	1884
517	2020	1880
518	2023	1875
519	2027	1871
520	2030	1866
521	2033	1862
522	2037	1858
523	2040	1854
524	2044	1849
525	2047	1845
526	2050	1840
527	2054	1836
528	2057	1831
529	2060	1827
530	2063	1822
531	2067	1818
532	2070	1814
533	2073	1809
534	2077	1805
535	2080	1801
536	2083	1796
537	2087	1792
538	2090	1787
539	2093	1783
540	2097	1779
541	2100	1774
542	2103	1770
543	2107	1766
544	2110	1762
545	2114	1757
546	2117	1753
547	2120	1748
548	2123	1744
549	2126	1739
550	2130	1735
551	2133	1731
552	2136	1726
553	2139	1722
554	2142	1717
555	2145	1713
556	2149	1709
557	2152	1704
558	2156	1700
559	2159	1696
560	2162	1692
561	2165	1687
562	2169	1683
563	2172	1679
564	2176	1675
565	2179	1671
566	2182	1666
567	2186	1662
568	2189	1658
569	2192	1654
570	2196	1649
571	2198	1645
572	2202	1641
573	2205	1636
574	2209	1633
575	2212	1628
576	2215	1624
577	2218	1619
578	2222	1616
579	2225	1611
580	2229	1608
581	2232	1603
582	2236	1599
583	2239	1595
584	2242	1591
585	2246	1587
586	2250	1583
587	2253	1579
588	2256	1574
589	2260	1570
590	2263	1566
591	2266	1562
592	2270	1558
593	2274	1554
594	2277	1550
595	2280	1545
596	2284	1542
597	2287	1537
598	2290	1533
599	2293	1529
600	2297	1525
601	2300	1520
602	2303	1516
603	2307	1512
604	2310	1508
605	2313	1503
606	2317	1500
607	2320	1495
608	2323	1491
609	2326	1487
610	2330	1483
611	2333	1479
612	2336	1475
613	2340	1471
614	2343	1467
615	2346	1463
616	2350	1459
617	2353	1454
618	2356	1450
619	2359	1446
620	2363	1442
621	2366	1438
622	2371	1434
623	2374	1430
624	2377	1426
625	2380	1422
626	2384	1418
627	2388	1414
628	2391	1410
629	2394	1406
630	2397	1402
631	2400	1397
632	2404	1393
633	2407	1389
634	2410	1385
635	2413	1381
636	2417	1377
637	2420	1373
638	2423	1369
639	2426	1365
640	2430	1361
641	2433	1356
642	2436	1353
643	2439	1348
644	2443	1344
645	2446	1340
646	2449	1336
647	2452	1332
648	2456	1328
649	2460	1324
650	2464	1320
651	2467	1316
652	2470	1312
653	2473	1308
654	2477	1304
655	2480	1300
656	2484	1296
657	2486	1292
658	2490	1288
659	2493	1284
660	2496	1280
661	2500	1276
662	2503	1272
663	2506	1268
664	2509	1264
665	2513	1260
666	2516	1256
667	2520	1252
668	2523	1248
669	2526	1244
670	2529	1240
671	2532	1236
672	2535	1232
673	2539	1228
674	2542	1224
675	2545	1220
676	2548	1215
677	2551	1211
678	2555	1207
679	2558	1204
680	2562	1200
681	2565	1196
682	2568	1192
683	2571	1188
684	2574	1183
685	2578	1180
686	2581	1176
687	2585	1172
688	2588	1168
689	2592	1164
690	2595	1160
691	2598	1156
692	2601	1152
693	2604	1148
694	2607	1144
695	2612	1140
696	2615	1136
697	2618	1132
698	2621	1128
699	2625	1125
700	2628	1121
701	2632	1117
702	2636	1113
703	2639	1109
704	2642	1105
705	2646	1101
706	2649	1097
707	2653	1094
708	2656	1090
709	2660	1086
710	2663	1082
711	2666	1078
712	2670	1074
713	2673	1071
714	2676	1067
715	2680	1063
716	2683	1059
717	2686	1055
718	2689	1051
719	2693	1047
720	2696	1043
721	2699	1039
722	2702	1035
723	2706	1031
724	2709	1027
725	2713	1024
726	2716	1020
727	2719	1016
728	2722	1012
729	2725	1008
730	2728	1004
731	2733	1000
732	2736	996
733	2740	993
734	2743	989
735	2746	985
736	2750	981
737	2754	977
738	2757	973
739	2760	969
740	2764	966
741	2768	962
742	2771	958
743	2774	954
744	2778	950
745	2781	947
746	2785	943
747	2788	939
748	2792	935
749	2795	931
750	2799	928
751	2802	924
752	2806	920
753	2809	916
754	2812	912
755	2815	908
756	2819	904
757	2822	901
758	2826	897
759	2828	893
760	2832	889
761	2835	885
762	2838	881
763	2841	877
764	2845	874
765	2848	870
766	2852	866
767	2856	862
768	2859	859
769	2862	855
770	2866	851
771	2869	847
772	2872	843
773	2876	839
774	2879	836
775	2882	832
776	2887	828
777	2890	824
778	2893	820
779	2897	817
780	2900	813
781	2903	809
782	2907	805
783	2910	801
784	2913	797
785	2917	794
786	2919	790
787	2923	786
788	2926	782
789	2929	778
790	2932	774
791	2936	771
792	2939	767
793	2943	763
794	2947	759
795	2950	756
796	2953	752
797	2956	748
798	2959	744
799	2963	740
800	2966	736
801	2969	733
802	2972	729
803	2976	725
804	2979	721
805	2983	718
806	2986	714
807	2990	710
808	2993	706
809	2997	703
810	3000	699
811	3003	695
812	3006	691
813	3010	687
814	3014	684
815	3017	680
816	3020	676
817	3024	672
818	3027	669
819	3030	665
820	3033	661
821	3037	657
822	3040	653
823	3044	650
824	3046	646
825	3050	642
826	3053	638
827	3057	635
828	3060	631
829	3064	627
830	3067	623
831	3071	620
832	3074	616
833	3077	612
834	3080	608
835	3084	605
836	3087	601
837	3091	597
838	3094	593
839	3097	590
840	3100	586
841	3104	582
842	3107	578
843	3111	575
844	3114	571
845	3117	567
846	3120	563
847	3124	560
848	3127	556
849	3131	552
850	3134	548
851	3138	545
852	3141	541
853	3145	537
854	3148	533
855	3152	530
856	3156	526
857	3159	522
858	3162	519
859	3165	515
860	3168	511
861	3172	507
862	3175	504
863	3178	500
864	3181	496
865	3185	492
866	3189	489
867	3192	485
868	3196	481
869	3199	478
870	3202	474
871	3205	470
872	3208	466
873	3212	463
874	3215	459
875	3218	455
876	3221	451
877	3225	448
878	3229	444
879	3232	440
880	3236	437
881	3239	433
882	3242	429
883	3246	426
884	3250	422
885	3253	418
886	3256	414
887	3259	411
888	3263	407
889	3266	403
890	3269	400
891	3273	396
892	3276	392
893	3279	388
894	3282	385
895	3286	381
896	3289	377
897	3293	374
898	3296	370
899	3299	366
900	3302	362
901	3306	359
902	3309	355
903	3312	351
904	3315	348
905	3318	344
906	3321	340
907	3325	336
908	3328	333
909	3332	329
910	3335	325
911	3338	322
912	3341	318
913	3345	314
914	3349	311
915	3352	307
916	3355	303
917	3359	300
918	3362	296
919	3366	292
920	3369	288
921	3372	285
922	3375	281
923	3378	277
924	3381	274
925	3385	270
926	3388	266
927	3392	263
928	3395	259
929	3400	255
930	3404	252
931	3407	248
932	3410	244
933	3413	241
934	3417	237
935	3420	233
936	3424	230
937	3427	226
938	3431	222
939	3434	219
940	3437	215
941	3441	211
942	3444	208
943	3447	204
944	3451	200
945	3454	197
946	3457	193
947	3460	189
948	3464	186
949	3467	182
950	3470	178
951	3473	175
952	3476	171
953	3480	167
954	3484	164
955	3487	160
956	3490	156
957	3493	153
958	3497	149
959	3500	145
960	3503	142
961	3507	138
962	3510	134
963	3513	131
964	3516	127
965	3520	123
966	3523	120
967	3526	116
968	3529	112
969	3533	109
970	3536	105
971	3540	101
972	3543	98
973	3546	94
974	3549	91
975	3553	87
976	3556	83
977	3560	80
978	3562	76
979	3566	72
980	3569	69
981	3573	65
982	3576	61
983	3579	58
984	3583	54
985	3586	50
986	3589	47
987	3593	43
988	3596	40
989	3600	36
990	3603	32
991	3606	29
992	3609	25
993	3613	21
994	3616	18
995	3620	14
996	3623	10
997	3627	7
998	3630	3
999	3634	0
